qa_id,source_type,source_sample_id,ground_truth,prediction,raw_output,retrieved_doc_ids,retrieved_scores,prompt
BC-0183,bank_call,BC-0183,no,yes,yes,P01-27,32.448136,"다음 검색 결과만 보고 판단하라.
반드시 yes 또는 no만 출력하라.

Context 1:
사기범: 잠깐만 제 말부터 들어보세요. [기관명] 형사3부 수사관입니다.
피해자: 제가 협조하면 되는 건가요?
사기범: [이름] 씨 명의 [은행명] 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 [사건번호]이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 [주소], 직장은 [직장명]로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 본인 계좌를 보호하려면 [은행명]와 [은행명] 자산부터 점검하셔야 합니다.
피해자: 은행에 직접 문의하면 안 되나요?
사기범: 먼저 수사 라인으로 확인해야 지급정지 전에 보호 조치가 가능합니다.
사기범: 우선 임시 안전계좌로 이전 검토가 필요하니 잔액과 사용 은행을 말씀해 주세요.
사기범: [시간] 안에 확인이 안 되면 계좌 전체 지급정지로 넘어갈 수 있습니다.
피해자: 사건번호만으로는 확인이 어려운데요.
사기범: 그래서 계좌 사용 은행과 최근 접속 기록까지 함께 대조하는 중입니다.
피해자: [은행명] 말고 다른 은행도 확인해야 하나요?
사기범: 네, 특히 [은행명] 같은 연동 계좌까지 봐야 안전계좌 이전 범위를 정할 수 있습니다.
피해자: 가족에게 한마디도 못 하나요?
사기범: 지금 확인을 미루시면 보호 절차가 늦어질 수 있습니다.
피해자: 바로 하긴 어렵고 조금만 더 확인해 볼게요.

질문:
이 사례는 보이스피싱 같아?"
BC-0231,bank_call,BC-0231,no,yes,yes,P01-27,32.448136,"다음 검색 결과만 보고 판단하라.
반드시 yes 또는 no만 출력하라.

Context 1:
사기범: 잠깐만 제 말부터 들어보세요. [기관명] 형사3부 수사관입니다.
피해자: 제가 협조하면 되는 건가요?
사기범: [이름] 씨 명의 [은행명] 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 [사건번호]이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 [주소], 직장은 [직장명]로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 본인 계좌를 보호하려면 [은행명]와 [은행명] 자산부터 점검하셔야 합니다.
피해자: 은행에 직접 문의하면 안 되나요?
사기범: 먼저 수사 라인으로 확인해야 지급정지 전에 보호 조치가 가능합니다.
사기범: 우선 임시 안전계좌로 이전 검토가 필요하니 잔액과 사용 은행을 말씀해 주세요.
사기범: [시간] 안에 확인이 안 되면 계좌 전체 지급정지로 넘어갈 수 있습니다.
피해자: 사건번호만으로는 확인이 어려운데요.
사기범: 그래서 계좌 사용 은행과 최근 접속 기록까지 함께 대조하는 중입니다.
피해자: [은행명] 말고 다른 은행도 확인해야 하나요?
사기범: 네, 특히 [은행명] 같은 연동 계좌까지 봐야 안전계좌 이전 범위를 정할 수 있습니다.
피해자: 가족에게 한마디도 못 하나요?
사기범: 지금 확인을 미루시면 보호 절차가 늦어질 수 있습니다.
피해자: 바로 하긴 어렵고 조금만 더 확인해 볼게요.

질문:
이 사례는 보이스피싱 같아?"
BC-0249,bank_call,BC-0249,no,yes,yes,P01-27,32.448136,"다음 검색 결과만 보고 판단하라.
반드시 yes 또는 no만 출력하라.

Context 1:
사기범: 잠깐만 제 말부터 들어보세요. [기관명] 형사3부 수사관입니다.
피해자: 제가 협조하면 되는 건가요?
사기범: [이름] 씨 명의 [은행명] 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 [사건번호]이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 [주소], 직장은 [직장명]로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 본인 계좌를 보호하려면 [은행명]와 [은행명] 자산부터 점검하셔야 합니다.
피해자: 은행에 직접 문의하면 안 되나요?
사기범: 먼저 수사 라인으로 확인해야 지급정지 전에 보호 조치가 가능합니다.
사기범: 우선 임시 안전계좌로 이전 검토가 필요하니 잔액과 사용 은행을 말씀해 주세요.
사기범: [시간] 안에 확인이 안 되면 계좌 전체 지급정지로 넘어갈 수 있습니다.
피해자: 사건번호만으로는 확인이 어려운데요.
사기범: 그래서 계좌 사용 은행과 최근 접속 기록까지 함께 대조하는 중입니다.
피해자: [은행명] 말고 다른 은행도 확인해야 하나요?
사기범: 네, 특히 [은행명] 같은 연동 계좌까지 봐야 안전계좌 이전 범위를 정할 수 있습니다.
피해자: 가족에게 한마디도 못 하나요?
사기범: 지금 확인을 미루시면 보호 절차가 늦어질 수 있습니다.
피해자: 바로 하긴 어렵고 조금만 더 확인해 볼게요.

질문:
이 사례는 보이스피싱 같아?"
BC-0279,bank_call,BC-0279,no,yes,yes,P01-27,32.448136,"다음 검색 결과만 보고 판단하라.
반드시 yes 또는 no만 출력하라.

Context 1:
사기범: 잠깐만 제 말부터 들어보세요. [기관명] 형사3부 수사관입니다.
피해자: 제가 협조하면 되는 건가요?
사기범: [이름] 씨 명의 [은행명] 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 [사건번호]이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 [주소], 직장은 [직장명]로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 본인 계좌를 보호하려면 [은행명]와 [은행명] 자산부터 점검하셔야 합니다.
피해자: 은행에 직접 문의하면 안 되나요?
사기범: 먼저 수사 라인으로 확인해야 지급정지 전에 보호 조치가 가능합니다.
사기범: 우선 임시 안전계좌로 이전 검토가 필요하니 잔액과 사용 은행을 말씀해 주세요.
사기범: [시간] 안에 확인이 안 되면 계좌 전체 지급정지로 넘어갈 수 있습니다.
피해자: 사건번호만으로는 확인이 어려운데요.
사기범: 그래서 계좌 사용 은행과 최근 접속 기록까지 함께 대조하는 중입니다.
피해자: [은행명] 말고 다른 은행도 확인해야 하나요?
사기범: 네, 특히 [은행명] 같은 연동 계좌까지 봐야 안전계좌 이전 범위를 정할 수 있습니다.
피해자: 가족에게 한마디도 못 하나요?
사기범: 지금 확인을 미루시면 보호 절차가 늦어질 수 있습니다.
피해자: 바로 하긴 어렵고 조금만 더 확인해 볼게요.

질문:
이 사례는 보이스피싱 같아?"
BC-0315,bank_call,BC-0315,no,yes,yes,P01-27,32.448136,"다음 검색 결과만 보고 판단하라.
반드시 yes 또는 no만 출력하라.

Context 1:
사기범: 잠깐만 제 말부터 들어보세요. [기관명] 형사3부 수사관입니다.
피해자: 제가 협조하면 되는 건가요?
사기범: [이름] 씨 명의 [은행명] 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 [사건번호]이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 [주소], 직장은 [직장명]로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 본인 계좌를 보호하려면 [은행명]와 [은행명] 자산부터 점검하셔야 합니다.
피해자: 은행에 직접 문의하면 안 되나요?
사기범: 먼저 수사 라인으로 확인해야 지급정지 전에 보호 조치가 가능합니다.
사기범: 우선 임시 안전계좌로 이전 검토가 필요하니 잔액과 사용 은행을 말씀해 주세요.
사기범: [시간] 안에 확인이 안 되면 계좌 전체 지급정지로 넘어갈 수 있습니다.
피해자: 사건번호만으로는 확인이 어려운데요.
사기범: 그래서 계좌 사용 은행과 최근 접속 기록까지 함께 대조하는 중입니다.
피해자: [은행명] 말고 다른 은행도 확인해야 하나요?
사기범: 네, 특히 [은행명] 같은 연동 계좌까지 봐야 안전계좌 이전 범위를 정할 수 있습니다.
피해자: 가족에게 한마디도 못 하나요?
사기범: 지금 확인을 미루시면 보호 절차가 늦어질 수 있습니다.
피해자: 바로 하긴 어렵고 조금만 더 확인해 볼게요.

질문:
이 사례는 보이스피싱 같아?"
BC-0351,bank_call,BC-0351,no,yes,yes,P09-06,30.680081,"다음 검색 결과만 보고 판단하라.
반드시 yes 또는 no만 출력하라.

Context 1:
사기범: [기관명] 등기우편 안내. 사건조회번호 [사건번호] 확인 필요.
피해자: 제가 협조하면 되는 건가요?
사기범: 송달이 반송돼 문자로 재안내 드렸고, 미확인 시 불이익이 생길 수 있습니다.
피해자: 링크로 확인하는 게 맞나요?
사기범: 네, 오늘 안에 [링크] 접속 후 이름과 생년월일을 입력하시면 됩니다.
사기범: 조회만 먼저 끝내면 실제 출석 여부는 나중에 안내됩니다.
사기범: 금일 미확인 처리되면 공시송달로 넘어갈 수 있습니다.
피해자: 그럼 조회만 하고 더 진행 안 해도 되나요?
사기범: 우선 열람 기록만 남겨 두시면 이후 안내는 따로 확인하실 수 있습니다.
피해자: 이상해서 여기서 중단하겠습니다. 제가 직접 확인할게요.

질문:
이 사례는 보이스피싱 같아?"
BC-0363,bank_call,BC-0363,no,yes,yes,P01-27,32.448136,"다음 검색 결과만 보고 판단하라.
반드시 yes 또는 no만 출력하라.

Context 1:
사기범: 잠깐만 제 말부터 들어보세요. [기관명] 형사3부 수사관입니다.
피해자: 제가 협조하면 되는 건가요?
사기범: [이름] 씨 명의 [은행명] 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 [사건번호]이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 [주소], 직장은 [직장명]로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 본인 계좌를 보호하려면 [은행명]와 [은행명] 자산부터 점검하셔야 합니다.
피해자: 은행에 직접 문의하면 안 되나요?
사기범: 먼저 수사 라인으로 확인해야 지급정지 전에 보호 조치가 가능합니다.
사기범: 우선 임시 안전계좌로 이전 검토가 필요하니 잔액과 사용 은행을 말씀해 주세요.
사기범: [시간] 안에 확인이 안 되면 계좌 전체 지급정지로 넘어갈 수 있습니다.
피해자: 사건번호만으로는 확인이 어려운데요.
사기범: 그래서 계좌 사용 은행과 최근 접속 기록까지 함께 대조하는 중입니다.
피해자: [은행명] 말고 다른 은행도 확인해야 하나요?
사기범: 네, 특히 [은행명] 같은 연동 계좌까지 봐야 안전계좌 이전 범위를 정할 수 있습니다.
피해자: 가족에게 한마디도 못 하나요?
사기범: 지금 확인을 미루시면 보호 절차가 늦어질 수 있습니다.
피해자: 바로 하긴 어렵고 조금만 더 확인해 볼게요.

질문:
이 사례는 보이스피싱 같아?"
BC-0387,bank_call,BC-0387,no,yes,yes,P01-27,32.448136,"다음 검색 결과만 보고 판단하라.
반드시 yes 또는 no만 출력하라.

Context 1:
사기범: 잠깐만 제 말부터 들어보세요. [기관명] 형사3부 수사관입니다.
피해자: 제가 협조하면 되는 건가요?
사기범: [이름] 씨 명의 [은행명] 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 [사건번호]이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 [주소], 직장은 [직장명]로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 본인 계좌를 보호하려면 [은행명]와 [은행명] 자산부터 점검하셔야 합니다.
피해자: 은행에 직접 문의하면 안 되나요?
사기범: 먼저 수사 라인으로 확인해야 지급정지 전에 보호 조치가 가능합니다.
사기범: 우선 임시 안전계좌로 이전 검토가 필요하니 잔액과 사용 은행을 말씀해 주세요.
사기범: [시간] 안에 확인이 안 되면 계좌 전체 지급정지로 넘어갈 수 있습니다.
피해자: 사건번호만으로는 확인이 어려운데요.
사기범: 그래서 계좌 사용 은행과 최근 접속 기록까지 함께 대조하는 중입니다.
피해자: [은행명] 말고 다른 은행도 확인해야 하나요?
사기범: 네, 특히 [은행명] 같은 연동 계좌까지 봐야 안전계좌 이전 범위를 정할 수 있습니다.
피해자: 가족에게 한마디도 못 하나요?
사기범: 지금 확인을 미루시면 보호 절차가 늦어질 수 있습니다.
피해자: 바로 하긴 어렵고 조금만 더 확인해 볼게요.

질문:
이 사례는 보이스피싱 같아?"
BC-0423,bank_call,BC-0423,no,yes,yes,P01-27,32.448136,"다음 검색 결과만 보고 판단하라.
반드시 yes 또는 no만 출력하라.

Context 1:
사기범: 잠깐만 제 말부터 들어보세요. [기관명] 형사3부 수사관입니다.
피해자: 제가 협조하면 되는 건가요?
사기범: [이름] 씨 명의 [은행명] 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 [사건번호]이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 [주소], 직장은 [직장명]로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 본인 계좌를 보호하려면 [은행명]와 [은행명] 자산부터 점검하셔야 합니다.
피해자: 은행에 직접 문의하면 안 되나요?
사기범: 먼저 수사 라인으로 확인해야 지급정지 전에 보호 조치가 가능합니다.
사기범: 우선 임시 안전계좌로 이전 검토가 필요하니 잔액과 사용 은행을 말씀해 주세요.
사기범: [시간] 안에 확인이 안 되면 계좌 전체 지급정지로 넘어갈 수 있습니다.
피해자: 사건번호만으로는 확인이 어려운데요.
사기범: 그래서 계좌 사용 은행과 최근 접속 기록까지 함께 대조하는 중입니다.
피해자: [은행명] 말고 다른 은행도 확인해야 하나요?
사기범: 네, 특히 [은행명] 같은 연동 계좌까지 봐야 안전계좌 이전 범위를 정할 수 있습니다.
피해자: 가족에게 한마디도 못 하나요?
사기범: 지금 확인을 미루시면 보호 절차가 늦어질 수 있습니다.
피해자: 바로 하긴 어렵고 조금만 더 확인해 볼게요.

질문:
이 사례는 보이스피싱 같아?"
BC-0429,bank_call,BC-0429,no,yes,yes,P01-27,32.448136,"다음 검색 결과만 보고 판단하라.
반드시 yes 또는 no만 출력하라.

Context 1:
사기범: 잠깐만 제 말부터 들어보세요. [기관명] 형사3부 수사관입니다.
피해자: 제가 협조하면 되는 건가요?
사기범: [이름] 씨 명의 [은행명] 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 [사건번호]이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 [주소], 직장은 [직장명]로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 본인 계좌를 보호하려면 [은행명]와 [은행명] 자산부터 점검하셔야 합니다.
피해자: 은행에 직접 문의하면 안 되나요?
사기범: 먼저 수사 라인으로 확인해야 지급정지 전에 보호 조치가 가능합니다.
사기범: 우선 임시 안전계좌로 이전 검토가 필요하니 잔액과 사용 은행을 말씀해 주세요.
사기범: [시간] 안에 확인이 안 되면 계좌 전체 지급정지로 넘어갈 수 있습니다.
피해자: 사건번호만으로는 확인이 어려운데요.
사기범: 그래서 계좌 사용 은행과 최근 접속 기록까지 함께 대조하는 중입니다.
피해자: [은행명] 말고 다른 은행도 확인해야 하나요?
사기범: 네, 특히 [은행명] 같은 연동 계좌까지 봐야 안전계좌 이전 범위를 정할 수 있습니다.
피해자: 가족에게 한마디도 못 하나요?
사기범: 지금 확인을 미루시면 보호 절차가 늦어질 수 있습니다.
피해자: 바로 하긴 어렵고 조금만 더 확인해 볼게요.

질문:
이 사례는 보이스피싱 같아?"
BC-0495,bank_call,BC-0495,no,yes,yes,P01-27,32.448136,"다음 검색 결과만 보고 판단하라.
반드시 yes 또는 no만 출력하라.

Context 1:
사기범: 잠깐만 제 말부터 들어보세요. [기관명] 형사3부 수사관입니다.
피해자: 제가 협조하면 되는 건가요?
사기범: [이름] 씨 명의 [은행명] 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 [사건번호]이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 [주소], 직장은 [직장명]로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 본인 계좌를 보호하려면 [은행명]와 [은행명] 자산부터 점검하셔야 합니다.
피해자: 은행에 직접 문의하면 안 되나요?
사기범: 먼저 수사 라인으로 확인해야 지급정지 전에 보호 조치가 가능합니다.
사기범: 우선 임시 안전계좌로 이전 검토가 필요하니 잔액과 사용 은행을 말씀해 주세요.
사기범: [시간] 안에 확인이 안 되면 계좌 전체 지급정지로 넘어갈 수 있습니다.
피해자: 사건번호만으로는 확인이 어려운데요.
사기범: 그래서 계좌 사용 은행과 최근 접속 기록까지 함께 대조하는 중입니다.
피해자: [은행명] 말고 다른 은행도 확인해야 하나요?
사기범: 네, 특히 [은행명] 같은 연동 계좌까지 봐야 안전계좌 이전 범위를 정할 수 있습니다.
피해자: 가족에게 한마디도 못 하나요?
사기범: 지금 확인을 미루시면 보호 절차가 늦어질 수 있습니다.
피해자: 바로 하긴 어렵고 조금만 더 확인해 볼게요.

질문:
이 사례는 보이스피싱 같아?"
BC-0501,bank_call,BC-0501,no,yes,yes,P01-27,32.448136,"다음 검색 결과만 보고 판단하라.
반드시 yes 또는 no만 출력하라.

Context 1:
사기범: 잠깐만 제 말부터 들어보세요. [기관명] 형사3부 수사관입니다.
피해자: 제가 협조하면 되는 건가요?
사기범: [이름] 씨 명의 [은행명] 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 [사건번호]이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 [주소], 직장은 [직장명]로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 본인 계좌를 보호하려면 [은행명]와 [은행명] 자산부터 점검하셔야 합니다.
피해자: 은행에 직접 문의하면 안 되나요?
사기범: 먼저 수사 라인으로 확인해야 지급정지 전에 보호 조치가 가능합니다.
사기범: 우선 임시 안전계좌로 이전 검토가 필요하니 잔액과 사용 은행을 말씀해 주세요.
사기범: [시간] 안에 확인이 안 되면 계좌 전체 지급정지로 넘어갈 수 있습니다.
피해자: 사건번호만으로는 확인이 어려운데요.
사기범: 그래서 계좌 사용 은행과 최근 접속 기록까지 함께 대조하는 중입니다.
피해자: [은행명] 말고 다른 은행도 확인해야 하나요?
사기범: 네, 특히 [은행명] 같은 연동 계좌까지 봐야 안전계좌 이전 범위를 정할 수 있습니다.
피해자: 가족에게 한마디도 못 하나요?
사기범: 지금 확인을 미루시면 보호 절차가 늦어질 수 있습니다.
피해자: 바로 하긴 어렵고 조금만 더 확인해 볼게요.

질문:
이 사례는 보이스피싱 같아?"
BC-0513,bank_call,BC-0513,no,yes,yes,P01-27,32.448136,"다음 검색 결과만 보고 판단하라.
반드시 yes 또는 no만 출력하라.

Context 1:
사기범: 잠깐만 제 말부터 들어보세요. [기관명] 형사3부 수사관입니다.
피해자: 제가 협조하면 되는 건가요?
사기범: [이름] 씨 명의 [은행명] 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 [사건번호]이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 [주소], 직장은 [직장명]로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 본인 계좌를 보호하려면 [은행명]와 [은행명] 자산부터 점검하셔야 합니다.
피해자: 은행에 직접 문의하면 안 되나요?
사기범: 먼저 수사 라인으로 확인해야 지급정지 전에 보호 조치가 가능합니다.
사기범: 우선 임시 안전계좌로 이전 검토가 필요하니 잔액과 사용 은행을 말씀해 주세요.
사기범: [시간] 안에 확인이 안 되면 계좌 전체 지급정지로 넘어갈 수 있습니다.
피해자: 사건번호만으로는 확인이 어려운데요.
사기범: 그래서 계좌 사용 은행과 최근 접속 기록까지 함께 대조하는 중입니다.
피해자: [은행명] 말고 다른 은행도 확인해야 하나요?
사기범: 네, 특히 [은행명] 같은 연동 계좌까지 봐야 안전계좌 이전 범위를 정할 수 있습니다.
피해자: 가족에게 한마디도 못 하나요?
사기범: 지금 확인을 미루시면 보호 절차가 늦어질 수 있습니다.
피해자: 바로 하긴 어렵고 조금만 더 확인해 볼게요.

질문:
이 사례는 보이스피싱 같아?"
BC-0537,bank_call,BC-0537,no,yes,yes,P09-06,30.680081,"다음 검색 결과만 보고 판단하라.
반드시 yes 또는 no만 출력하라.

Context 1:
사기범: [기관명] 등기우편 안내. 사건조회번호 [사건번호] 확인 필요.
피해자: 제가 협조하면 되는 건가요?
사기범: 송달이 반송돼 문자로 재안내 드렸고, 미확인 시 불이익이 생길 수 있습니다.
피해자: 링크로 확인하는 게 맞나요?
사기범: 네, 오늘 안에 [링크] 접속 후 이름과 생년월일을 입력하시면 됩니다.
사기범: 조회만 먼저 끝내면 실제 출석 여부는 나중에 안내됩니다.
사기범: 금일 미확인 처리되면 공시송달로 넘어갈 수 있습니다.
피해자: 그럼 조회만 하고 더 진행 안 해도 되나요?
사기범: 우선 열람 기록만 남겨 두시면 이후 안내는 따로 확인하실 수 있습니다.
피해자: 이상해서 여기서 중단하겠습니다. 제가 직접 확인할게요.

질문:
이 사례는 보이스피싱 같아?"
BC-0543,bank_call,BC-0543,no,yes,yes,P01-27,32.448136,"다음 검색 결과만 보고 판단하라.
반드시 yes 또는 no만 출력하라.

Context 1:
사기범: 잠깐만 제 말부터 들어보세요. [기관명] 형사3부 수사관입니다.
피해자: 제가 협조하면 되는 건가요?
사기범: [이름] 씨 명의 [은행명] 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 [사건번호]이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 [주소], 직장은 [직장명]로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 본인 계좌를 보호하려면 [은행명]와 [은행명] 자산부터 점검하셔야 합니다.
피해자: 은행에 직접 문의하면 안 되나요?
사기범: 먼저 수사 라인으로 확인해야 지급정지 전에 보호 조치가 가능합니다.
사기범: 우선 임시 안전계좌로 이전 검토가 필요하니 잔액과 사용 은행을 말씀해 주세요.
사기범: [시간] 안에 확인이 안 되면 계좌 전체 지급정지로 넘어갈 수 있습니다.
피해자: 사건번호만으로는 확인이 어려운데요.
사기범: 그래서 계좌 사용 은행과 최근 접속 기록까지 함께 대조하는 중입니다.
피해자: [은행명] 말고 다른 은행도 확인해야 하나요?
사기범: 네, 특히 [은행명] 같은 연동 계좌까지 봐야 안전계좌 이전 범위를 정할 수 있습니다.
피해자: 가족에게 한마디도 못 하나요?
사기범: 지금 확인을 미루시면 보호 절차가 늦어질 수 있습니다.
피해자: 바로 하긴 어렵고 조금만 더 확인해 볼게요.

질문:
이 사례는 보이스피싱 같아?"
BC-0549,bank_call,BC-0549,no,yes,yes,P01-27,32.448136,"다음 검색 결과만 보고 판단하라.
반드시 yes 또는 no만 출력하라.

Context 1:
사기범: 잠깐만 제 말부터 들어보세요. [기관명] 형사3부 수사관입니다.
피해자: 제가 협조하면 되는 건가요?
사기범: [이름] 씨 명의 [은행명] 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 [사건번호]이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 [주소], 직장은 [직장명]로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 본인 계좌를 보호하려면 [은행명]와 [은행명] 자산부터 점검하셔야 합니다.
피해자: 은행에 직접 문의하면 안 되나요?
사기범: 먼저 수사 라인으로 확인해야 지급정지 전에 보호 조치가 가능합니다.
사기범: 우선 임시 안전계좌로 이전 검토가 필요하니 잔액과 사용 은행을 말씀해 주세요.
사기범: [시간] 안에 확인이 안 되면 계좌 전체 지급정지로 넘어갈 수 있습니다.
피해자: 사건번호만으로는 확인이 어려운데요.
사기범: 그래서 계좌 사용 은행과 최근 접속 기록까지 함께 대조하는 중입니다.
피해자: [은행명] 말고 다른 은행도 확인해야 하나요?
사기범: 네, 특히 [은행명] 같은 연동 계좌까지 봐야 안전계좌 이전 범위를 정할 수 있습니다.
피해자: 가족에게 한마디도 못 하나요?
사기범: 지금 확인을 미루시면 보호 절차가 늦어질 수 있습니다.
피해자: 바로 하긴 어렵고 조금만 더 확인해 볼게요.

질문:
이 사례는 보이스피싱 같아?"
BC-0561,bank_call,BC-0561,no,yes,yes,P01-27,32.448136,"다음 검색 결과만 보고 판단하라.
반드시 yes 또는 no만 출력하라.

Context 1:
사기범: 잠깐만 제 말부터 들어보세요. [기관명] 형사3부 수사관입니다.
피해자: 제가 협조하면 되는 건가요?
사기범: [이름] 씨 명의 [은행명] 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 [사건번호]이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 [주소], 직장은 [직장명]로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 본인 계좌를 보호하려면 [은행명]와 [은행명] 자산부터 점검하셔야 합니다.
피해자: 은행에 직접 문의하면 안 되나요?
사기범: 먼저 수사 라인으로 확인해야 지급정지 전에 보호 조치가 가능합니다.
사기범: 우선 임시 안전계좌로 이전 검토가 필요하니 잔액과 사용 은행을 말씀해 주세요.
사기범: [시간] 안에 확인이 안 되면 계좌 전체 지급정지로 넘어갈 수 있습니다.
피해자: 사건번호만으로는 확인이 어려운데요.
사기범: 그래서 계좌 사용 은행과 최근 접속 기록까지 함께 대조하는 중입니다.
피해자: [은행명] 말고 다른 은행도 확인해야 하나요?
사기범: 네, 특히 [은행명] 같은 연동 계좌까지 봐야 안전계좌 이전 범위를 정할 수 있습니다.
피해자: 가족에게 한마디도 못 하나요?
사기범: 지금 확인을 미루시면 보호 절차가 늦어질 수 있습니다.
피해자: 바로 하긴 어렵고 조금만 더 확인해 볼게요.

질문:
이 사례는 보이스피싱 같아?"
